,,coef,std err,z,P>|z|,[0.025,0.975]
0,Intercept,    0.0011,    0.001,    1.724, 0.085,   -0.000,    0.002
1,C(year_hgsch_entry)[T.1999.0],   -0.7370,    0.241,   -3.059, 0.002,   -1.209,   -0.265
2,C(year_hgsch_entry)[T.2000.0],   -0.5204,    0.234,   -2.226, 0.026,   -0.979,   -0.062
3,C(year_hgsch_entry)[T.2001.0],   -0.4330,    0.177,   -2.441, 0.015,   -0.781,   -0.085
4,C(year_hgsch_entry)[T.2002.0],   -0.5503,    0.213,   -2.585, 0.010,   -0.967,   -0.133
5,C(year_hgsch_entry)[T.2003.0],   -0.6168,    0.148,   -4.161, 0.000,   -0.907,   -0.326
6,C(year_hgsch_entry)[T.2004.0],   -0.5940,    0.230,   -2.579, 0.010,   -1.046,   -0.143
7,C(year_hgsch_entry)[T.2005.0],   -0.6781,    0.300,   -2.259, 0.024,   -1.266,   -0.090
8,C(year_hgsch_entry)[T.2006.0],   -0.5071,    0.183,   -2.773, 0.006,   -0.866,   -0.149
9,C(year_hgsch_entry)[T.2007.0],   -0.8020,    0.147,   -5.473, 0.000,   -1.089,   -0.515
10,C(year_hgsch_entry)[T.2008.0],   -0.3513,    0.180,   -1.955, 0.051,   -0.703,    0.001
11,C(year_hgsch_entry)[T.2009.0],   -0.5777,    0.216,   -2.680, 0.007,   -1.000,   -0.155
12,C(year_hgsch_entry)[T.2010.0],   -0.6484,    0.213,   -3.048, 0.002,   -1.065,   -0.232
13,C(year_hgsch_entry)[T.2011.0],   -0.5403,    0.148,   -3.655, 0.000,   -0.830,   -0.251
14,C(year_hgsch_entry)[T.2012.0],   -0.4243,    0.206,   -2.059, 0.040,   -0.828,   -0.020
15,C(year_hgsch_entry)[T.2013.0],    0.4418,    0.248,    1.779, 0.075,   -0.045,    0.929
16,C(year_hgsch_entry)[T.2014.0],    0.4869,    0.195,    2.502, 0.012,    0.106,    0.868
17,Treat,    0.1646,    0.058,    2.814, 0.005,    0.050,    0.279
18,Age,    0.0179,    0.010,    1.724, 0.085,   -0.002,    0.038
19,female,   -0.0555,    0.055,   -1.011, 0.312,   -0.163,    0.052
20,rural,-3.102e-16, 2.07e-16,   -1.501, 0.133,-7.15e-16, 9.48e-17
21,East,   -0.2035,    0.032,   -6.266, 0.000,   -0.267,   -0.140
22,low_performing,    0.0205,    0.104,    0.197, 0.844,   -0.183,    0.224
23,highest_educ_hh,    0.2182,    0.038,    5.677, 0.000,    0.143,    0.293
24,migration_backgrnd,    0.0011,    0.001,    1.724, 0.085,   -0.000,    0.002
25,work_father,   -0.2990,    0.067,   -4.456, 0.000,   -0.431,   -0.167
26,work_mother,    0.1408,    0.070,    2.006, 0.045,    0.003,    0.278
27,reli_hh,    0.0673,    0.058,    1.152, 0.249,   -0.047,    0.182
